"USA","OILPROD","TOT","KTOE","A","2000",297512.886,
"USA","OILPROD","TOT","KTOE","A","2001",295670.563,
"USA","OILPROD","TOT","KTOE","A","2002",292823.901,
"USA","OILPROD","TOT","KTOE","A","2003",289518.467,
"USA","OILPROD","TOT","KTOE","A","2004",276931.156,
"USA","OILPROD","TOT","KTOE","A","2005",263918.138,
"USA","OILPROD","TOT","KTOE","A","2006",260029.939,
"USA","OILPROD","TOT","KTOE","A","2007",258101.855,
"USA","OILPROD","TOT","KTOE","A","2008",252986.129,
"USA","OILPROD","TOT","KTOE","A","2009",273202.08,
"USA","OILPROD","TOT","KTOE","A","2010",279225.018,
"USA","OILPROD","TOT","KTOE","A","2011",287590.382,
"USA","OILPROD","TOT","KTOE","A","2012",332009.679,
"USA","OILPROD","TOT","KTOE","A","2013",380518.664,
"USA","OILPROD","TOT","KTOE","A","2014",446109.689,
"USA","OILPROD","TOT","KTOE","A","2015",472634.851,
"USA","OILPROD","TOT","KTOE","A","2016",446538.263,
"USA","OILPROD","TOT","KTOE","A","2017",470360.949,
